date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,1ft,0.8ft,10s,5,6,mph,25°c,100%,SSW,192,Cross/Offshore,W,281
01/01,12pm,1ft,0.8ft,10s,12,12,mph,28°c,100%,SSW,194,Onshore,S,173
01/01,6pm,1ft,0.8ft,9s,9,11,mph,26°c,100%,SSW,194,Cross/Onshore,ESE,104
02/01,6am,1-2ft,1.8ft,8s,4,4,mph,25°c,100%,S,181,Offshore,NNE,27
02/01,12pm,2ft,1.9ft,8s,9,10,mph,30°c,100%,S,177,Onshore,SE,132
02/01,6pm,1-2ft,1.8ft,8s,11,13,mph,28°c,100%,S,173,Cross/Onshore,ESE,106
03/01,6am,1-2ft,1.5ft,7s,6,8,mph,26°c,100%,SSE,168,Offshore,NW,310
03/01,12pm,1-2ft,1.3ft,7s,12,13,mph,30°c,100%,SSE,166,Onshore,SSW,203
03/01,6pm,1-2ft,1.2ft,7s,12,17,mph,27°c,100%,SSE,164,Onshore,SW,217
04/01,6am,1-2ft,1.8ft,5s,6,9,mph,24°c,100%,S,185,Onshore,SSW,213
04/01,12pm,1-2ft,1.8ft,6s,8,8,mph,25°c,100%,SSE,169,Onshore,SSW,196
04/01,6pm,1-2ft,1.8ft,7s,10,11,mph,24°c,100%,SSW,204,Onshore,SE,132
05/01,6am,2-3ft,2.5ft,7s,4,6,mph,23°c,100%,S,177,Cross/Onshore,ESE,102
05/01,12pm,1-2ft,1.6ft,7s,5,7,mph,24°c,100%,SSW,193,Cross/Onshore,ESE,105
05/01,6pm,1-2ft,1.4ft,7s,11,15,mph,25°c,100%,S,189,Offshore,ENE,62
06/01,6am,1ft,1ft,7s,6,7,mph,24°c,100%,S,184,Offshore,N,5
06/01,12pm,1ft,0.9ft,9s,3,3,mph,26°c,100%,SSW,195,Offshore,NNE,31
06/01,6pm,1ft,0.9ft,9s,8,9,mph,26°c,100%,SSW,196,Onshore,SE,125
07/01,6am,1ft,0.9ft,9s,6,8,mph,25°c,100%,SSW,197,Cross/Onshore,W,260
07/01,12pm,1ft,0.8ft,8s,13,16,mph,26°c,100%,SSW,199,Onshore,SW,216
07/01,6pm,1-2ft,1.9ft,4s,12,15,mph,24°c,100%,SSW,198,Onshore,SSW,206
08/01,6am,1-2ft,1.1ft,8s,3,3,mph,24°c,100%,SSW,209,Cross-shore,E,92
08/01,12pm,1-2ft,1.5ft,8s,8,8,mph,26°c,100%,SSW,209,Onshore,SSE,162
08/01,6pm,2ft,1.9ft,8s,11,15,mph,26°c,100%,SSW,203,Cross-shore,E,91
09/01,6am,2-3ft,2.5ft,9s,6,7,mph,23°c,100%,SSW,195,Offshore,ENE,62
09/01,12pm,2-4ft,2.5ft,11s,13,15,mph,27°c,100%,SSW,193,Onshore,ESE,122
09/01,6pm,2-3ft,2.5ft,10s,15,24,mph,26°c,100%,SSW,192,Cross-shore,E,92
10/01,6am,2-3ft,1.9ft,10s,8,11,mph,24°c,100%,S,189,Offshore,ENE,61
10/01,12pm,2-3ft,1.8ft,9s,13,15,mph,28°c,100%,S,187,Cross/Onshore,ESE,119
10/01,6pm,1-2ft,1.4ft,9s,18,26,mph,26°c,100%,SSW,192,Cross-shore,E,96
11/01,6am,1-2ft,1.2ft,9s,8,9,mph,24°c,100%,SSW,192,Cross/Offshore,ENE,74
11/01,12pm,1-2ft,1.4ft,10s,11,11,mph,27°c,100%,S,184,Onshore,SE,125
11/01,6pm,1-2ft,1.3ft,10s,17,25,mph,26°c,100%,S,183,Cross-shore,E,94
12/01,6am,1-2ft,1.2ft,12s,4,5,mph,24°c,100%,SSE,165,Offshore,NE,47
12/01,12pm,1ft,1.6ft,7s,6,8,mph,30°c,100%,ESE,117,Onshore,SE,124
12/01,6pm,1-2ft,1.4ft,11s,10,11,mph,27°c,100%,SSE,165,Offshore,ENE,66
13/01,6am,1-2ft,1.1ft,11s,5,6,mph,25°c,100%,SSE,164,Offshore,N,0
13/01,12pm,1-2ft,1.2ft,11s,2,5,mph,30°c,100%,SSE,166,Cross-shore,E,96
13/01,6pm,1-2ft,1.1ft,11s,9,10,mph,28°c,100%,SSE,162,Onshore,SE,127
14/01,6am,1-2ft,1ft,11s,5,6,mph,25°c,100%,SSE,162,Offshore,N,5
14/01,12pm,1-2ft,1ft,10s,3,5,mph,30°c,100%,SSE,161,Cross/Offshore,ENE,71
14/01,6pm,1-2ft,1ft,10s,10,12,mph,29°c,100%,SSE,161,Cross/Offshore,ENE,71
15/01,6am,1-2ft,1.1ft,10s,7,8,mph,26°c,100%,SSE,162,Offshore,N,6
15/01,12pm,1-2ft,1ft,9s,3,5,mph,30°c,100%,SSE,162,Offshore,NE,41
15/01,6pm,1ft,1ft,9s,11,12,mph,29°c,100%,SSE,162,Cross/Onshore,ESE,116
16/01,6am,1ft,0.8ft,8s,3,3,mph,26°c,100%,SSE,162,Offshore,NNE,31
16/01,12pm,1ft,0.6ft,8s,10,10,mph,30°c,100%,SSE,164,Onshore,SSE,163
16/01,6pm,1ft,0.6ft,8s,6,8,mph,28°c,100%,SSE,161,Cross/Onshore,ESE,118
